N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
-1,0,1,1,H,7288.97061,0.00009,0,0,1.007825032,9.00E-11
0,2,2,4,He,2424.91561,0.00006,7073.915,0,4.002603254,6.00E-11
1,4,3,7,Li,14907.10529,0.00423,5606.439,0.001,7.016003437,4.54E-09
1,5,4,9,Be,11348.453,0.077,6462.668,0.009,9.012183066,0.000000082
1,6,5,11,B,8667.707,0.012,6927.732,0.001,11.00930517,0.000000013
0,6,6,12,C,0,0,7680.144,0,12,0
0,7,7,14,N,2863.41672,0.00019,7475.614,0,14.003074,2.10E-10
0,8,8,16,O,-4737.00135,0.00016,7976.206,0,15.99491462,1.70E-10
1,10,9,19,F,-1487.4442,0.00086,7779.018,0,18.99840316,9.30E-10
0,10,10,20,Ne,-7041.93055,0.00157,8032.24,0,19.99244018,1.68E-09
1,12,11,23,Na,-9529.85248,0.00181,8111.493,0,22.98976928,1.94E-09
0,12,12,24,Mg,-13933.569,0.013,8260.709,0.001,23.9850417,0.000000014
1,14,13,27,Al,-17196.861,0.047,8331.553,0.002,26.98153841,0.00000005
0,14,14,28,Si,-21492.7943,0.00049,8447.744,0,27.97692653,5.20E-10
1,16,15,31,P,-24440.54095,0.00067,8481.167,0,30.973762,7.20E-10
0,16,16,32,S,-26015.53355,0.00132,8493.129,0,31.97207117,1.41E-09
1,18,17,35,Cl,-29013.528,0.035,8520.278,0.001,34.96885269,0.000000038
4,22,18,40,Ar,-35039.89464,0.00224,8595.259,0,39.96238312,2.40E-09
1,20,19,39,K,-33807.1901,0.00458,8557.025,0,38.96370649,4.92E-09
0,20,20,40,Ca,-34846.384,0.021,8551.303,0.001,39.96259087,0.000000022
3,24,21,45,Sc,-41071.896,0.675,8618.931,0.015,44.9559075,0.000000724
4,26,22,48,Ti,-48492.709,0.109,8723.006,0.002,47.94794093,0.000000117
5,28,23,51,V,-52203.842,0.401,8742.099,0.008,50.94395687,0.00000043
4,28,24,52,Cr,-55419.242,0.34,8775.989,0.007,51.94050499,0.000000364
5,30,25,55,Mn,-57712.413,0.303,8765.022,0.006,54.93804317,0.000000325
4,30,26,56,Fe,-60607.082,0.302,8790.354,0.005,55.93493562,0.000000324
5,32,27,59,Co,-62229.709,0.418,8768.035,0.007,58.93319366,0.000000448
2,30,28,58,Ni,-60228.744,0.373,8732.059,0.006,57.93534178,0.0000004
5,34,29,63,Cu,-65579.752,0.44,8752.138,0.007,62.92959724,0.000000472
4,34,30,64,Zn,-66004.014,0.647,8735.905,0.01,63.92914177,0.000000694
7,38,31,69,Ga,-69327.809,1.197,8724.579,0.017,68.92557353,0.000001285
10,42,32,74,Ge,-73422.442,0.013,8725.2,0,73.92117776,0.000000013
9,42,33,75,As,-73034.195,0.884,8700.874,0.012,74.92159456,0.000000948
12,46,34,80,Se,-77759.457,0.963,8710.813,0.012,79.91652179,0.000001034
9,44,35,79,Br,-76068.035,1.021,8687.594,0.013,78.9183376,0.000001095
12,48,36,84,Kr,-82439.3351,0.00379,8717.446,0,83.91149773,4.07E-09
11,48,37,85,Rb,-82167.3305,0.00498,8697.441,0,84.91178974,5.34E-09
12,50,38,88,Sr,-87921.61793,0.00558,8732.595,0,87.90561226,5.99E-09
11,50,39,89,Y,-87708.352,1.612,8713.978,0.018,88.90584121,0.00000173
10,50,40,90,Zr,-88772.535,0.118,8709.969,0.001,89.90469876,0.000000126
11,52,41,93,Nb,-87212.838,1.491,8664.184,0.016,92.90637316,0.0000016
14,56,42,98,Mo,-88115.972,0.174,8635.168,0.002,97.90540361,0.000000186
12,55,43,98,Tc,-86432.205,3.38,8610.004,0.034,97.90721121,0.000003628
14,58,44,102,Ru,-89106.437,0.418,8607.427,0.004,101.9043403,0.000000448
13,58,45,103,Rh,-88031.708,2.301,8584.192,0.022,102.9054941,0.00000247
14,60,46,106,Pd,-89907.527,1.106,8579.992,0.01,105.9034803,0.000001186
13,60,47,107,Ag,-88406.67,2.382,8553.9,0.022,106.9050915,0.000002557
18,66,48,114,Cd,-90014.932,0.276,8531.513,0.002,113.903365,0.000000296
17,66,49,115,In,-89536.346,0.012,8516.546,0,114.9038788,0.000000012
20,70,50,120,Sn,-91098.369,0.896,8504.492,0.007,119.9022019,0.000000962
19,70,51,121,Sb,-89600.321,2.582,8482.066,0.021,120.9038101,0.000002771
26,78,52,130,Te,-87352.949,0.011,8430.324,0,129.9062227,0.000000012
21,74,53,127,I,-88983.909,3.647,8445.487,0.029,126.9044718,0.000003915
24,78,54,132,Xe,-89278.96179,0.00515,8427.622,0,131.9041551,5.53E-09
23,78,55,133,Cs,-88070.931,0.008,8409.978,0,132.905452,0.000000008
26,82,56,138,Ba,-88261.638,0.317,8393.42,0.002,137.9052472,0.000000339
25,82,57,139,La,-87226.212,2.009,8378.025,0.014,138.9063588,0.000002156
24,82,58,140,Ce,-88076.089,1.596,8376.317,0.011,139.9054464,0.000001713
23,82,59,141,Pr,-86015.644,1.665,8353.992,0.012,140.9076584,0.000001787
22,82,60,142,Nd,-85949.98,1.368,8346.03,0.01,141.9077289,0.000001468
23,84,61,145,Pm,-81267.474,2.859,8302.657,0.02,144.9127558,0.000003068
28,90,62,152,Sm,-74762.603,1.212,8244.061,0.008,151.919739,0.000001301
27,90,63,153,Eu,-73367.222,1.33,8228.699,0.009,152.921237,0.000001428
30,94,64,158,Gd,-70689.546,1.189,8201.819,0.008,157.9241116,0.000001276
29,94,65,159,Tb,-69532.363,1.256,8188.8,0.008,158.9253539,0.000001348
32,98,66,164,Dy,-65967.965,0.767,8158.714,0.005,163.9291805,0.000000823
31,98,67,165,Ho,-64899.006,1.01,8146.964,0.006,164.930328,0.000001084
30,98,68,166,Er,-64926.042,1.165,8141.959,0.007,165.930299,0.000001251
31,100,69,169,Tm,-61275.212,0.812,8114.473,0.005,168.9342184,0.000000871
34,104,70,174,Yb,-56944.512,0.011,8083.847,0,173.9388675,0.000000011
33,104,71,175,Lu,-55165.582,1.207,8069.14,0.007,174.9407773,0.000001295
36,108,72,180,Hf,-49779.348,1.419,8034.93,0.008,179.9465597,0.000001522
35,108,73,181,Ta,-48438.311,1.403,8023.4,0.008,180.9479993,0.000001506
36,110,74,184,W,-45705.373,0.731,8005.077,0.004,183.9509333,0.000000785
37,112,75,187,Re,-41216.478,0.736,7977.951,0.004,186.9557523,0.00000079
40,116,76,192,Os,-35882.191,2.315,7948.525,0.012,191.9614789,0.000002485
39,116,77,193,Ir,-34536.235,1.328,7938.133,0.007,192.9629238,0.000001425
39,117,78,195,Pt,-32793.849,0.503,7926.552,0.003,194.9647944,0.000000539
39,118,79,197,Au,-31139.738,0.542,7915.654,0.003,196.9665701,0.000000581
42,122,80,202,Hg,-27345.324,0.705,7896.85,0.003,201.9706436,0.000000756
43,124,81,205,Tl,-23820.874,1.237,7878.394,0.006,204.9744272,0.000001328
44,126,82,208,Pb,-21748.598,1.148,7867.453,0.006,207.9766519,0.000001231
43,126,83,209,Bi,-18258.662,1.364,7847.987,0.007,208.9803985,0.000001464
41,125,84,209,Po,-16366.092,1.778,7835.188,0.009,208.9824303,0.000001908
40,125,85,210,At,-11972.177,7.695,7811.663,0.037,209.9871473,0.000008261
50,136,86,222,Rn,16372.206,1.95,7694.497,0.009,222.0175763,0.000002093
49,136,87,223,Fr,18382.394,1.932,7683.664,0.009,223.0197343,0.000002073
50,138,88,226,Ra,23667.824,1.933,7661.962,0.009,226.0254085,0.000002075
49,138,89,227,Ac,25849.58,1.927,7650.707,0.008,227.0277507,0.000002068
52,142,90,232,Th,35446.784,1.422,7615.033,0.006,232.0380537,0.000001526
49,140,91,231,Pa,33424.404,1.772,7618.426,0.008,231.0358826,0.000001902
54,146,92,238,U,47307.783,1.493,7570.125,0.006,238.050787,0.000001602
51,144,93,237,Np,44871.659,1.12,7574.989,0.005,237.0481717,0.000001202
56,150,94,244,Pu,59806.028,2.346,7524.815,0.01,244.0642044,0.000002518
53,148,95,243,Am,57175.046,1.388,7530.173,0.006,243.0613799,0.00000149
55,151,96,247,Cm,65533.143,3.797,7501.931,0.015,247.0703527,0.000004076
53,150,97,247,Bk,65489.562,5.189,7498.94,0.021,247.0703059,0.00000557
55,153,98,251,Cf,74135.018,3.901,7470.5,0.016,251.0795872,0.000004187
54,153,99,252,Es,77294.617,50.056,7457.242,0.199,252.0829792,0.000053736
57,157,100,257,Fm,88590.033,4.486,7422.194,0.017,257.0951053,0.000004815
