plntname,ra_str,dec_str,mlmassplnj,mlmassplnjerr1,mlmassplnjerr2,mlmassplnjlim,mlmassplne,mlmassplneerr1,mlmassplneerr2,mlmassplnelim,mlsmaproj,mlsmaprojerr1,mlsmaprojerr2,mlsmaprojlim,mlmasslens,mlmasslenserr1,mlmasslenserr2,mlmasslenslim,mldistl,mldistlerr1,mldistlerr2,mldistllim,mldists,mldistserr1,mldistserr2,mldistslim,mltsepmin,mltsepminerr1,mltsepminerr2,mltsepminlim,mlsepminnorm,mlsepminnormerr1,mlsepminnormerr2,mlsepminnormlim,mlxtimeein,mlxtimeeinerr1,mlxtimeeinerr2,mlxtimeeinlim,mlradsnorm,mlradsnormerr1,mlradsnormerr2,mlradsnormlim,mlsepinsnorp,mlsepinsnorperr1,mlsepinsnorperr2,mlsepinsnorplim,mlmassratio,mlmassratioerr1,mlmassratioerr2,mlmassratiolim,mlangstlax,mlangstlaxerr1,mlangstlaxerr2,mlangstlaxlim,mlmagis,mlmagiserr1,mlmagiserr2,mlmagislim,mlmagibl,mlmagiblerr1,mlmagiblerr2,mlmagibllim,mlradeinang,mlradeinangerr1,mlradeinangerr2,mlradeinanglim,mlpmrells,mlpmrellserr1,mlpmrellserr2,mlpmrellslim,mlmodeldef,plntreflink
OGLE-2012-BLG-0563L b,18h05m57.72s,-27d42m43.2s,0.39,0.14,-0.23,0,120,44,-73,0,0.74,0.26,-0.42,0,0.34,0.12,-0.2,0,1300,600,-800,0,9100,900,-1100,0,2456069.028,0.00026,-0.00026,0,0.001405,0.00004,-0.00004,0,77.5,2.2,-2.2,0,0.327,0.024,-0.026,0,0.4134,0.0032,-0.0032,0,10.86,0.4,-0.4,0,5.7843,0.0013,-0.0013,0,20.115,0.031,-0.031,0,,,,,1.36,0.14,-0.12,0,6.4,0.6,-0.5,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...74F/abstract target=ref>Fukui et al. 2015</a>
MOA-2010-BLG-328L b,17h57m59.12s,-30d42m54.63s,0.029,0.007,-0.007,0,9.2,2.2,-2.2,0,0.92,0.16,-0.16,0,0.11,0.01,-0.01,0,810,100,-100,0,8000,300,-300,0,2455378.683,0.014,-0.014,0,-0.0721,0.0008,-0.0008,0,62.6,0.6,-0.6,0,0.93,0.1,-0.1,0,1.154,0.016,-0.016,0,2.6,0.53,-0.53,0,-0.2743,0.0087,-0.0087,0,19.49,,,0,,,,,0.98,0.12,-0.12,0,5.71,0.7,-0.7,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>
OGLE-2005-BLG-169L b,18h06m05.32s,-30d43m57.5s,0.041,,,0,13,,,0,2.7,,,0,0.49,0.23,-0.29,0,2700,1600,-1300,0,,,,,2453491.876,,,0,0.00124,,,0,42.27,,,0,0.44,,,0,1.0198,,,0,0.86,,,0,2.04,,,0,,,,,,,,,1,0.22,-0.22,0,8.4,1.7,-1.7,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...644L..37G/abstract target=ref>Gould et al. 2006</a>
OGLE-2015-BLG-0051L b,17h58m39.01s,-28d01m54.1s,0.72,0.65,-0.07,0,230,210,-20,0,0.73,0.08,-0.08,0,0.1,0.09,-0.01,0,8200,900,-900,0,,,,,2457083.081,0.003,-0.003,0,0.224,0.002,-0.002,0,10.81,0.07,-0.07,0,45.3,0.6,-0.6,0,0.963,0.002,-0.002,0,74.3,1.3,-1.3,0,5.358,0.002,-0.002,0,,,,,,,,,0.093,0.008,-0.008,0,3.15,0.28,-0.28,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...95H/abstract target=ref>Han et al. 2016</a>
OGLE-2012-BLG-0724L b,17h55m52.39s,-29d49m6.7s,0.47,0.54,-0.26,0,150,170,-83,0,1.6,0.4,-0.3,0,0.29,0.33,-0.16,0,6700,1100,-1200,0,,,,,2456071.038,0.001,-0.001,0,0.008383,0.000612,-0.000612,0,13.3556,0.8479,-0.8479,0,1.4098,0.1282,-0.1282,0,0.9195,0.0053,-0.0053,0,15.848,1.451,-1.451,0,1.57,0.0117,-0.0117,0,21.89,0.07,-0.07,0,,,,,0.239,0.028,-0.028,0,6.52,0.87,-0.87,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824..139H/abstract target=ref>Hirao et al. 2016</a>
OGLE-2015-BLG-0954L b,18h00m44.24s,-28d39m39.2s,3.9,1.4,-1.4,0,1200,440,-440,0,1.2,0.6,0.6,0,0.33,0.12,-0.12,0,600,400,-200,0,,,,,2457165.22,0.009,-0.009,0,-0.058,0.0021,-0.0021,0,36.96,1.1,-1.1,0,0.303,0.013,-0.013,0,1.3522,0.0063,-0.0063,0,119.4,4.3,-4.3,0,4.589,0.0044,-0.0044,0,20.91,0.03,-0.03,0,18.47,0.02,-0.02,0,1.89,0.17,-0.17,0,18.4,1.7,-1.7,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2016JKAS...49...73S/abstract target=ref>Shin et al. 2016</a>
MOA-2011-BLG-028L b,18h03m24.96s,-29d12m48.3s,0.09,0.05,-0.04,0,30,16,-12,0,4.14,0.64,-0.64,0,0.75,0.35,-0.3,0,7380,520,-620,0,8610,640,-640,0,2455673.81,0.18,-0.18,0,0.906,0.021,-0.037,0,34.2,0.74,-0.74,0,17.4,2.2,-2.2,0,1.691,0.036,-0.036,0,1.27,0.25,-0.25,0,-2.192,0.023,-0.023,0,15.3,,,0,,,,,0.337,0.053,-0.053,0,3.59,0.58,-0.58,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820....4S/abstract target=ref>Skowron et al. 2016</a>
OGLE-2017-BLG-0373L b,17h57m19.06s,-31d57m06.2s,0.401,0.637,-0.257,0,127,202,-82,0,2.424,0.757,-0.783,0,0.248,0.274,-0.133,0,5915,1123,-1478,0,,,,,2457840.607,0.054,-0.054,0,0.416,0.011,-0.011,0,11.993,0.243,-0.243,0,2.935,0.19,-0.19,0,1.376,0.01,-0.01,0,15.44,3.52,-3.52,0,2.461,0.015,-0.015,0,,,,,,,,,0.288,0.029,-0.029,0,8.81,0.097,-0.097,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018arXiv180210067S/abstract target=ref>Skowron et al. 2018</a>
OGLE-2017-BLG-1434L b,17h53m07.29s,-30d14m44.6s,0.014,0.002,-0.002,0,4.5,0.5,-0.5,0,1.18,0.1,-0.1,0,0.234,0.026,-0.026,0,860,90,-90,0,,,,,2457984.978,0.004,-0.004,0,0.043,0.001,-0.001,0,62.957,0.863,-0.863,0,0.4692,0.0093,-0.0093,0,0.979,0.0004,-0.0004,0,0.5722,0.0145,-0.0145,0,4.551,0.002,-0.002,0,18.45,0.063,-0.063,0,,,,,1.4,0.09,-0.09,0,8.1,0.5,-0.5,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AcA....68....1U/abstract target=ref>Udalski et al. 2018</a>
MOA-2010-BLG-117L b,18h07m49.67s,-25d20m40.7s,0.54,0.1,-0.1,0,170,32,-32,0,2.42,0.26,-0.26,0,0.58,0.11,-0.11,0,3500,400,-400,0,6900,700,-700,0,2455419.77,0.28,-0.28,0,-0.287,0.013,-0.013,0,116.4,4.3,-4.3,0,,,,,0.8566,0.0051,-0.0051,0,9.52,0.33,-0.33,0,-1.964,0.01,-0.01,0,17.9,0.06,-0.06,0,,,,,0.777,0.095,-0.095,0,2.44,0.31,-0.31,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..141B/abstract target=ref>Bennett et al. 2018</a>
OGLE-2017-BLG-1140L b,17h47m31.93s,-24d31m21.6s,1.62,0.41,-0.29,0,515,130,-92,0,1.02,0.15,-0.15,0,0.213,0.036,-0.027,0,,,,,8100,,,0,2457940.77,0.0059,-0.0059,0,0.2389,0.0034,-0.004,0,14.7,0.14,-0.11,0,26.9,2.6,-3.4,0,0.87,0.014,-0.014,0,73,8,-7,0,2.539,0.0076,-0.0074,0,,,,,,,,,0.164,0.028,-0.02,0,4.07,0.69,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2018arXiv180304437C/abstract target=ref>Calchi Novati et al. 2018</a>
MOA-2007-BLG-400L b,18h09m41.98s,-29d13m26.95s,0.83,0.49,-0.31,0,260,160,-99,0,0.72,0.38,-0.16,0,0.3,0.19,-0.12,0,5800,600,-800,0,,,,,2454354.581,,,0,0.00025,,,0,14.41,,,0,0.00326,,,0,0.34,,,0,26,,,0,3.9629,,,0,,,,,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2009ApJ...698.1826D/abstract target=ref>Dong et al. 2009</a>
MOA-2007-BLG-400L b,18h09m41.98s,-29d13m26.95s,0.83,0.49,-0.31,0,260,160,-99,0,6.5,3.2,-1.2,0,0.3,0.19,-0.12,0,5800,600,-800,0,,,,,2454354.581,,,0,0.00027,,,0,14.33,,,0,0.00329,,,0,2.87,0.2,-0.2,0,25,5,-3,0,3.9617,,,0,,,,,,,,,0.32,,,0,8,,,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2009ApJ...698.1826D/abstract target=ref>Dong et al. 2009</a>
OGLE-2017-BLG-0482L b,17h56m11.73s,-30d31m42.1s,0.028,0.028,-0.014,0,9,9,-4.5,0,1.8,0.6,-0.7,0,0.2,0.2,-0.1,0,5800,1800,-2100,0,8100,1600,-1800,0,2457873.948,0.013,-0.013,0,0.059,0.002,-0.002,0,40.01,1.45,-1.45,0,6,,,1,1.07,0.01,-0.01,0,1.35,0.2,-0.2,0,0.369,0.023,-0.023,0,,,,,,,,,0.093,,,-1,0.86,,,-1,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..211H/abstract target=ref>Han et al. 2018</a>
OGLE-2017-BLG-0482L b,17h56m11.73s,-30d31m42.1s,0.028,0.028,-0.014,0,9,9,-4.5,0,1.8,0.6,-0.7,0,0.2,0.2,-0.1,0,5800,1800,-2100,0,8100,1600,-1800,0,2457873.952,0.013,-0.013,0,-0.058,0.002,-0.002,0,40.39,1.21,-1.21,0,6,,,1,1.07,0.01,-0.01,0,1.41,0.3,-0.3,0,-0.365,0.026,-0.026,0,,,,,,,,,0.093,,,-1,0.86,,,-1,0,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..211H/abstract target=ref>Han et al. 2018</a>
OGLE-2012-BLG-0563L b,18h05m57.72s,-27d42m43.2s,0.39,0.14,-0.23,0,123,44,-73,0,4.3,1.5,-2.5,0,0.34,0.12,-0.2,0,1300,600,-800,0,9100,-1100,,0,2456069.028,0.00027,-0.00027,0,0.001403,0.000039,-0.000039,0,77.7,2.1,-2.1,0,0.327,0.024,-0.026,0,2.425,0.019,-0.019,0,10.85,0.39,-0.39,0,5.7841,0.0013,-0.0013,0,20.115,0.031,-0.031,0,,,,,1.36,0.14,-0.12,0,6.4,0.6,-0.5,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...74F/abstract target=ref>Fukui et al. 2015</a>
MOA-2010-BLG-328L b,17h57m59.12s,-30d42m54.63s,0.343,0.12,0.18,0,109,38,58,0,3.8,0.9,-1.5,0,0.64,0.22,-0.34,0,4600,1100,-1800,0,,,,,2455378.706,0.013,-0.013,0,-0.0741,0.0004,-0.0004,0,61.8,0.3,-0.3,0,1.35,0.01,-0.01,0,1.22,0.001,-0.001,0,5.16,0.06,-0.06,0,-0.2024,0.0004,-0.0004,0,,,,,20.49,0.11,-0.11,0,0.68,0.04,-0.04,0,4.03,0.26,-0.26,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>
MOA-2010-BLG-328L b,17h57m59.12s,-30d42m54.63s,0.0478,0.019,-0.019,0,15.2,5.9,-5.9,0,1.21,0.27,-0.27,0,0.12,0.02,-0.02,0,1240,180,-180,0,,,,,2455378.694,0.017,-0.017,0,0.0716,0.0007,-0.0007,0,64.2,0.6,-0.6,0,1.09,0.17,-0.17,0,1.18,0.028,-0.028,0,3.68,1.26,-1.26,0,0.1965,0.0151,-0.0151,0,,,,,,,,,0.83,0.14,-0.14,0,4.72,0.79,-0.79,0,0,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,,,,,,,,,,,,,,,,,,,,,,,,,2456402.28,0.049,-0.049,0,0.0347,0.0005,-0.0005,0,31.4,0.23,-0.23,0,3.1779,0.0274,-0.0274,0,0.949,0.002,-0.002,0,1.806,0.157,-0.157,0,-0.0026,0.0028,-0.0028,0,18.5881,0.0088,-0.0088,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,,,,,,,,,,,,,,,,,,,,,,,,,2456402.239,0.048,-0.048,0,-0.0334,0.0004,-0.0004,0,31.97,0.23,-0.23,0,3.1032,0.0268,-0.0268,0,0.951,0.002,-0.002,0,1.681,0.154,-0.154,0,-0.0065,0.002,-0.002,0,18.6103,0.0088,-0.0088,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,0.00522,0.00057,-0.00057,0,1.66,0.18,-0.18,0,0.702,0.022,-0.022,0,0.1127,0.0089,-0.0089,0,911,70,-70,0,,,,,2456409.148,0.018,-0.018,0,0.0013,0.0008,-0.0008,0,32.26,0.16,-0.16,0,3.0543,0.0159,-0.0159,0,0.815,0.003,-0.003,0,0.443,0.029,-0.029,0,0.199,0.0106,-0.0106,0,18.613,0.0066,-0.0066,0,,,,,,,,,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>
OGLE-2013-BLG-0341L B b,17h52m07.49s,-29d50m46.0s,0.0073,0.00085,-0.00085,0,2.32,0.27,-0.27,0,0.883,0.043,-0.043,0,0.1452,0.0135,-0.0135,0,1161,93,-93,0,,,,,2456409.362,0.078,-0.078,0,-0.0233,0.001,-0.001,0,33.41,0.61,-0.61,0,3.0943,0.0276,-0.0276,0,0.814,0.007,-0.007,0,0.48,0.033,-0.033,0,0.1068,0.0107,-0.0107,0,18.6028,0.0111,-0.0111,0,,,,,,,,,,,,,0,<a href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>
OGLE-2017-BLG-0173L b,17h51m52.95s,-29d16m16.9s,0.01029,0.01211,-0.00634,0,3.269,3.849,-2.015,0,3.913,1.615,-1.649,0,0.396,0.39,-0.227,0,4705,1468,-1763,0,,,,,2457837.946,0.059,-0.059,0,0.867,0.043,-0.043,0,30.46,1.04,-1.04,0,10.024,0.512,-0.512,0,1.54,0.031,-0.031,0,0.2479,0.0242,-0.0242,0,1.332,0.004,-0.004,0,,,,,,,,,0.54,0.03,-0.03,0,6.5,0.4,-0.4,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...20H/abstract target=ref>Hwang et al. 2018</a>
OGLE-2008-BLG-355L b,17h59m08.81s,-30d45m34.1s,4.6,3.7,-2.2,0,1500,1200,-700,0,1.7,0.29,-0.3,0,0.37,0.3,-0.17,0,6800,1100,-1100,0,,,,,2454642,0.2,-0.2,0,0.27,0.03,-0.03,0,34,2.2,-2.2,0,2.17,0.15,-0.15,0,0.877,0.01,-0.01,0,118,6,-6,0,0.814,0.022,-0.022,0,20.02,0.12,-0.12,0,19.24,0.07,-0.07,0,0.28,0.03,-0.03,0,3.06,0.38,-0.38,0,1,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...788..128K/abstract target=ref>Koshimoto et al. 2014</a>
MOA-2010-BLG-353L b,18h05m12.94s,-27d17m35.64s,0.27,0.48,-0.16,0,86,150,-51,0,1.72,0.56,-0.48,0,0.18,0.32,-0.11,0,6430,1090,-1150,0,8000,,,0,2455381.24,0.06,-0.06,0,-0.79,0.08,-0.08,0,11.3,0.7,-0.7,0,21,9,-9,0,1.45,0.06,-0.06,0,14,4,-4,0,4.17,0.02,-0.02,0,17.73,0.3,-0.3,0,,,,,0.187,0.089,-0.089,0,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>
OGLE-2012-BLG-0026L c,17h34m18.70s,-27d08m33.9s,0.86,0.06,-0.06,0,270,20,-20,0,4.8,0.7,-0.7,0,1.06,0.05,-0.05,0,4019,380,-380,0,7390,1280,-1280,0,,,,,,,,,94.12,0.92,-0.92,0,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.04,-0.04,0,,,,,1,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...83B/abstract target=ref>Beaulieu et al. 2016</a>
