Chemical,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
H2,22,0,6.00E-05,0,86.4,88,82.5,80,0
4He,0,0.0012,0.000524,0,13.6,12,15.2,19,0
CH4,0,0,0.00018,1.50E-05,0.00181,0.0047,2.3,2,2.5
NH3,0,0,0,0,0.0006,0.00016,1.00E-05,6.00E-05,0
H2O,0,0.0002,0.0001,0.01,0.052,2.00E-06,0,0,0
H2S,0,0,0,0,0.0067,4.00E-05,8.00E-05,0.0003,0
HD,0,0,0,0,0.0045,0.011,0.0148,0.0192,0
13CH4,0,0,0,0,0.0019,0.0051,0,0,0
C2H6,0,0,0,0,0.00058,0.0007,0,0,0
PH3,0,0,0,0,0.00011,0.00045,0,0,0
CH3D,0,0,0,0,2.00E-05,3.00E-05,0.00083,0.0012,0
C2H2,0,0,0,0,1.10E-05,3.00E-05,1.00E-06,6.00E-06,0
HCN,0,0,0,0,6.00E-06,4.00E-07,1.50E-06,3.00E-08,0
HC3N,0,0,0,0,0,0,8.00E-08,4.00E-08,0
C2H4,0,0,0,0,7.00E-07,2.00E-08,0,0,0
CO2,0,96.5,0.04,96,3.50E-06,3.00E-08,4.00E-09,0,0
C2H6.1,0,0,0,0,0,0,1.00E-06,0.00015,0
CH3C2H,0,0.0017,0,0,2.50E-07,6.00E-08,2.50E-08,0,0
CO,0,0,0,0,1.60E-07,1.40E-07,4.00E-06,6.50E-05,0.5
CH3CN,0,0,0,0,0,0,0,5.00E-07,0
GeH4,0,0,0,0.0557,7.00E-08,4.00E-08,0,0,0
C4H2,0,0,0,0,3.00E-08,9.00E-09,1.60E-08,0,0
AsH3,0,0,0,0,2.20E-08,2.10E-07,0,0,0
Ar,0,0.007,0.934,1.9,0,0,0,0,0
N2,0,3.5,78,1.9,0,0,0,0,97
Ne,0,0,0.001818,0,0,0,0,0,0
Kr,0,0,0.000114,0,0,0,0,0,0
O2,42,0,20.946,0.15,0,0,0,0,0
Na,29,0,0,0,0,0,0,0,0
SO2,0,0.015,0,0,0,0,0,0,0
HCl,0,6.00E-05,0,0,0,0,0,0,0
HF,0,1.00E-07,0,0,0,0,0,0,0
Other,7,0,0,0,0,0,0,0,0
