Name,Semimajor Axis,Period,Eccentricity,Inclination,Mean Radius,Mass
Cordelia,49752.00,0.3350331,0,0.1,13,
Ophelia,53764.00,0.3764089,0.01,0.1,16,
Bianca,59165.00,0.4345772,0.00027,0.18,27,
Cressida,61767.00,0.46357,0.0002,0.038,41,
Desdemona,62659.00,0.473651,0.00034,0.098,35,
Juliet,64358.00,0.493066,0.00005,0.045,53,
Portia,66097.00,0.5131958,0.00051,0.026,70,
Rosalind,69927.00,0.5584589,0.00058,0.093,36,
Cupid,74392.00,0.6128252,0,0,9,
Belinda,75256.00,0.6235248,0.00028,0.027,45,
Perdita,76417.00,0.6380191,0.00329,0.068,13,
Puck,86004.00,0.7618321,0.00039,0.321,81,
Mab,97736.00,0.9229583,0.00254,0.14,12,
Miranda,129800.00,1.413,0.0027,4.22,235,0.659
Ariel,191200.00,2.52,0.0034,0.31,579,13.53
Umbriel,266000.00,4.144,0.005,0.36,585,11.72
Titania,435800.00,8.706,0.0022,0.1,789,35.27
Oberon,583600.00,13.463,0.0008,0.1,761,30.14
