r,r*,P,T
0.0 ,6371.0 ,363.850  ,5151
200.0 ,6171.0 ,362.900  ,5119
400.0 ,5971.0 ,360.030  ,5087
600.0 ,5771.0 ,355.280  ,5064
800.0 ,5571.0 ,348.670  ,5041
1000.0 ,5371.0 ,340.240  ,5003
1200.0 ,5171.0 ,330.050  ,4965
1221.5 ,5149.5 ,328.850  ,4961   
1400.0 ,4971.0 ,318.750  ,4907
1600.0 ,4771.0 ,306.150  ,4846
1800.0 ,4571.0 ,292.220  ,4769
2000.0 ,4371.0 ,277.040  ,4693
2200.0 ,4171.0 ,260.680  ,4597
2400.0 ,3971.0 ,243.250  ,4501
2600.0 ,3771.0 ,224.850  ,4383
2800.0 ,3571.0 ,205.600  ,4265
3000.0 ,3371.0 ,185.640  ,4123
3200.0 ,3171.0 ,165.120  ,3981
3400.0 ,2971.0 ,144.190  ,3816
3480.0 ,2891.0 ,135.750  ,3750  
3600.0 ,2771.0 ,128.710  ,3601
3630.0 ,2741.0 ,126.970  ,3564
3800.0 ,2571.0 ,117.350  ,3018
4000.0 ,2371.0 ,106.390  ,2865
4200.0 ,2171.0  ,95.760  ,2712
4400.0 ,1971.0  ,85.430  ,2610
4600.0 ,1771.0  ,75.360  ,2509
4800.0 ,1571.0  ,65.520  ,2411
5000.0 ,1371.0  ,55.900  ,2313
5200.0 ,1171.0  ,46.490  ,2211
5400.0  ,971.0  ,37.290  ,2109
5600.0  ,771.0  ,28.290  ,2003
5701.0  ,670.0  ,23.830  ,1950  
5771.0  ,600.0  ,21.040  ,1906
5871.0  ,500.0  ,17.130  ,1842
5971.0  ,400.0  ,13.350  ,1779
6016.0  ,355.0  ,10.775  ,1750  
6061.0  ,310.0  ,10.200  ,1714 
6151.0  ,220.0   ,7.110  ,1622
6221.0  ,150.0   ,4.780  ,1550
6291.0   ,80.0   ,2.450  ,1155
6331.0   ,40.0   ,1.122   ,930    
6346.6   ,24.4   ,0.604   ,743
6356.0   ,15.0   ,0.337   ,630
6368.0    ,3.0   ,0.300   ,366
6371.0    ,0.0   ,0.000   ,300
