r,r*,P
0,6371,363.85
200,6171,362.9
400,5971,360.03
600,5771,355.28
800,5571,348.67
1000,5371,340.24
1200,5171,330.05
1221.5,5149.5,328.85
1400,4971,318.75
1600,4771,306.15
1800,4571,292.22
2000,4371,277.04
2200,4171,260.68
2400,3971,243.25
2600,3771,224.85
2800,3571,205.6
3000,3371,185.64
3200,3171,165.12
3400,2971,144.19
3480,2891,135.75
3600,2771,128.71
3630,2741,126.97
3800,2571,117.35
4000,2371,106.39
4200,2171,95.76
4400,1971,85.43
4600,1771,75.36
4800,1571,65.52
5000,1371,55.9
5200,1171,46.49
5400,971,37.29
5600,771,28.29
5701,670,23.83
5771,600,21.04
5871,500,17.13
5971,400,13.35
6016,355,10.78
6061,310,10.2
6151,220,7.11
6221,150,4.78
6291,80,2.45
6331,40,1.12
6346.6,24.4,0.6
6356,15,0.34
6368,3,0.3
6371,0,0
