pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
KOI-351,h,KOI-351 h,Transit,0,8,331.60059,0.00037,-0.00037,0,3,1.01,0.11,-0.11,0,1,,,,,0,89.6,1.3,-1.3,0,1,,,,,1,,1.008,0.089,-0.089,0,4,,,,,0,0,1,0,18h57m44.04s,+49d18m18.6s,284.433492,0.000017,49.305161,0.000017,2,780,100,-100,0,3,13.804,,0,Kepler-band,13.74,,0,6080,260,-170,0,7,1.2,0.1,-0.1,0,3,1.2,0.1,-0.1,0,7,1,14/05/2014,Kepler
Kepler-91,b,Kepler-91 b,Transit,0,1,6.24658,0.00008,-0.00008,0,8,0.0731,0.0034,-0.0031,0,3,,,,,4,69.68,0.67,-0.57,0,5,0.81,0.18,-0.17,0,5,Mass,1.367,0.069,-0.06,0,6,0.4,0.2,-0.1,0,3,0,1,0,19h02m41.49s,+44d07m00.2s,285.672872,0.000017,44.116734,0.000017,2,1344.56,43.59,-43.59,0,4,12.495,,0,Kepler-band,12.476,,0,4550,75,-75,0,8,1.31,0.1,-0.1,0,5,6.3,0.16,-0.16,0,8,1,15/10/2015,Kepler
Kepler-92,b,Kepler-92 b,Transit,0,3,13.749,,,0,5,,,,,0,,,,,1,,,,,0,0.202,0.044,-0.044,0,1,Mass,0.313,0.009,-0.009,0,4,,,,,0,1,1,0,19h16m20.65s,+41d33m46.6s,289.086058,0.000019,41.562941,0.000017,2,484.62,5.48,-5.48,0,3,11.565,,0,Kepler-band,11.745,,0,5883,,,0,4,,,,,3,1.53,,,0,6,1,14/05/2014,Kepler
Kepler-92,c,Kepler-92 c,Transit,0,3,26.723,,,0,5,,,,,0,,,,,1,,,,,0,0.019,0.006,-0.006,0,1,Mass,0.232,0.007,-0.007,0,4,,,,,0,1,1,0,19h16m20.65s,+41d33m46.6s,289.086058,0.000019,41.562941,0.000017,2,484.62,5.48,-5.48,0,3,11.565,,0,Kepler-band,11.745,,0,5883,,,0,4,,,,,3,1.53,,,0,6,1,14/05/2014,Kepler
Kepler-93,b,Kepler-93 b,Transit,0,2,4.72674,0.000001,-0.000001,0,7,,,,,1,0,,,0,2,89.18,0.04,-0.04,0,3,0.01,0,0,0,4,Mass,0.14,0.01,-0.01,0,6,,,,,3,0,1,0,19h25m40.39s,+38d40m20.5s,291.418281,0.000017,38.672354,0.000017,2,96.18,0.22,-0.22,0,2,9.931,,0,Kepler-band,9.862,,0,5669,75,-75,0,7,1.09,0.14,-0.14,0,3,0.98,0.04,-0.04,0,7,1,26/04/2018,Kepler
Kepler-93,c,Kepler-93 c,Radial Velocity,0,2,1460,,,-1,2,,,,,0,,,,,0,,,,,0,3,,,-1,2,Mass,,,,,0,,,,,0,0,1,0,19h25m40.39s,+38d40m20.5s,291.418281,0.000017,38.672354,0.000017,2,96.18,0.22,-0.22,0,2,9.931,,0,Kepler-band,9.862,,0,5669,75,-75,0,7,1.09,0.14,-0.14,0,3,0.98,0.04,-0.04,0,7,0,14/05/2014,W. M. Keck Observatory
Kepler-94,b,Kepler-94 b,Transit,0,2,2.50806,,,0,5,,,,,1,,,,,0,,,,,0,0.034,0.004,-0.004,0,1,Mass,0.313,0.013,-0.013,0,4,1.45,0.26,-0.26,0,1,0,1,0,18h44m46.74s,+47d29m49.7s,281.194747,0.000019,47.497148,0.000017,2,192.97,0.82,-0.82,0,3,12.895,,0,Kepler-band,12.857,,0,4781,98,-98,0,7,0.81,0.06,-0.06,0,3,0.76,0.03,-0.03,0,7,1,14/05/2014,Kepler
Kepler-94,c,Kepler-94 c,Radial Velocity,0,2,820.3,3,-3,0,1,,,,,0,,,,,0,,,,,0,9.836,0.629,-0.629,0,1,Mass,,,,,0,,,,,0,0,1,0,18h44m46.74s,+47d29m49.7s,281.194747,0.000019,47.497148,0.000017,2,192.97,0.82,-0.82,0,3,12.895,,0,Kepler-band,12.857,,0,4781,98,-98,0,7,0.81,0.06,-0.06,0,3,0.76,0.03,-0.03,0,7,0,14/05/2014,W. M. Keck Observatory
Kepler-95,b,Kepler-95 b,Transit,0,1,11.5231,,,0,4,,,,,0,,,,,0,,,,,0,0.041,0.009,-0.009,0,1,Mass,0.305,0.008,-0.008,0,3,1.71,0.37,-0.37,0,1,0,1,0,18h57m55.79s,+44d23m52.9s,284.482459,0.000017,44.398037,0.000017,2,451.38,5.81,-5.81,0,3,12.346,,0,Kepler-band,12.304,,0,5699,74,-74,0,6,1.08,0.08,-0.08,0,2,1.41,0.04,-0.04,0,6,1,14/05/2014,Kepler
Kepler-96,b,Kepler-96 b,Transit,0,1,16.2385,,,0,3,,,,,0,,,,,0,,,,,0,0.027,0.011,-0.011,0,1,Mass,0.238,0.02,-0.02,0,3,2.26,1.11,-1.11,0,1,0,1,0,19h48m16.71s,+40d31m30.5s,297.069643,0.000017,40.525141,0.000017,2,123.32,0.4,-0.4,0,3,10.297,,0,Kepler-band,10.297,,0,5690,73,-73,0,6,1,0.06,-0.06,0,2,1.02,0.09,-0.09,0,6,1,14/05/2014,Kepler
Kepler-97,b,Kepler-97 b,Transit,0,2,2.58664,,,0,4,,,,,0,,,,,0,,,,,0,0.011,0.006,-0.006,0,1,Mass,0.132,0.012,-0.012,0,3,5.44,3.48,-3.48,0,1,0,1,0,19h09m18.39s,+48d40m24.4s,287.326624,0.000022,48.673431,0.000017,2,405.58,3.58,-3.58,0,3,12.872,,0,Kepler-band,12.813,,0,5779,74,-74,0,6,0.94,0.06,-0.06,0,2,0.98,0.09,-0.09,0,6,1,14/05/2014,Kepler
Kepler-97,c,Kepler-97 c,Radial Velocity,0,2,789,,,-1,1,,,,,0,,,,,0,,,,,0,1.08,,,-1,1,Mass,,,,,0,,,,,0,0,1,0,19h09m18.39s,+48d40m24.4s,287.326624,0.000022,48.673431,0.000017,2,405.58,3.58,-3.58,0,3,12.872,,0,Kepler-band,12.813,,0,5779,74,-74,0,6,0.94,0.06,-0.06,0,2,0.98,0.09,-0.09,0,6,0,14/05/2014,W. M. Keck Observatory
Kepler-98,b,Kepler-98 b,Transit,0,1,1.54168,,,0,4,,,,,0,,,,,0,,,,,0,0.011,0.005,-0.005,0,1,Mass,0.178,0.02,-0.02,0,3,2.18,1.21,-1.21,0,1,0,1,0,19h02m38.80s,+37d57m52.2s,285.661662,0.000017,37.964506,0.000017,2,353.87,2.99,-2.99,0,3,12.899,,0,Kepler-band,12.869,,0,5539,73,-73,0,6,0.99,0.06,-0.06,0,2,1.11,0.12,-0.12,0,6,1,14/05/2014,Kepler
Kepler-99,b,Kepler-99 b,Transit,0,1,4.60358,,,0,4,,,,,0,,,,,0,,,,,0,0.019,0.004,-0.004,0,1,Mass,0.132,0.007,-0.007,0,3,10.9,2.82,-2.82,0,1,0,1,0,19h49m24.96s,+41d18m00.2s,297.354004,0.000017,41.300049,0.000017,2,209.63,1.04,-1.04,0,3,12.97,,0,Kepler-band,12.962,,0,4782,129,-129,0,6,0.79,0.06,-0.06,0,2,0.73,0.04,-0.04,0,6,1,14/05/2014,Kepler
Kepler-100,b,Kepler-100 b,Transit,0,3,6.88705,,,0,5,,,,,0,,,,,1,,,,,0,0.023,0.01,-0.01,0,1,Mass,0.118,0.004,-0.004,0,4,14.25,6.33,-6.33,0,1,0,1,0,19h25m32.63s,+41d59m25.0s,291.385979,0.000022,41.990273,0.000017,2,307.34,1.77,-1.77,0,3,11.197,,0,Kepler-band,11.129,,0,5825,75,-75,0,6,1.08,0.06,-0.06,0,4,1.49,0.04,-0.04,0,7,1,14/05/2014,Kepler
