1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
0,1,1,0,1,n,8071.31713,0.00046,0,0,1.008664916,4.90E-10
,-1,0,1,1,H,7288.97061,0.00009,0,0,1.007825032,9.00E-11
0,0,1,1,2,H,13135.72176,0.00011,1112.283,0,2.014101778,1.20E-10
0,1,2,1,3,H,14949.80993,0.00022,2827.265,0,3.016049282,2.30E-10
,-1,1,2,3,He,14931.21793,0.00021,2572.68,0,3.016029323,2.20E-10
,-3,0,3,3,Li,28667#,2000#,-2267#,667#,#VALUE!,#VALUE!
0,2,3,1,4,H,24621.127,100,1720.449,25,4.026431868,0.000107354
,0,2,2,4,He,2424.91561,0.00006,7073.915,0,4.002603254,6.00E-11
,-2,1,3,4,Li,25323.189,212.132,1153.76,53.033,4.027185562,0.000227733
0,3,4,1,5,H,32892.444,89.443,1336.359,17.889,5.035311493,0.00009602
,1,3,2,5,He,11231.233,20,5512.132,4,5.012057224,0.00002147
,-1,2,3,5,Li,11678.886,50,5266.132,10,5.0125378,0.000053677
,-3,1,4,5,Be,37139#,2003#,18#,401#,#VALUE!,#VALUE!
0,4,5,1,6,H,41875.721,254.127,961.639,42.354,6.044955437,0.000272816
,2,4,2,6,He,17592.095,0.053,4878.519,0.009,6.018885891,0.000000057
,0,3,3,6,Li,14086.87895,0.00144,5332.331,0,6.015122887,1.55E-09
,-2,2,4,6,Be,18375.033,5.448,4487.247,0.908,6.019726409,0.000005848
,-4,1,5,6,B,47320#,2003#,-467#,334#,#VALUE!,#VALUE!
0,5,6,1,7,H,49135#,1004#,940#,143#,#VALUE!,#VALUE!
,3,5,2,7,He,26073.126,7.559,4123.057,1.08,7.027990654,0.000008115
,1,4,3,7,Li,14907.10529,0.00423,5606.439,0.001,7.016003437,4.54E-09
,-1,3,4,7,Be,15768.999,0.071,5371.548,0.01,7.016928717,0.000000076
,-3,2,5,7,B,27676.55,25.15,3558.705,3.593,7.029712,0.000027
0,4,6,2,8,He,31609.681,0.089,3924.52,0.011,8.03393439,0.000000095
,2,5,3,8,Li,20945.804,0.047,5159.712,0.006,8.022486246,0.00000005
,0,4,4,8,Be,4941.671,0.035,7062.435,0.004,8.005305102,0.000000037
,-2,3,5,8,B,22921.567,1,4717.155,0.125,8.024607316,0.000001073
,-4,2,6,8,C,35064.268,18.243,3101.524,2.28,8.037643042,0.000019584
0,5,7,2,9,He,40935.826,46.816,3349.037,5.202,9.043946419,0.000050259
,3,6,3,9,Li,24954.902,0.186,5037.768,0.021,9.026790191,0.0000002
,1,5,4,9,Be,11348.453,0.077,6462.668,0.009,9.012183066,0.000000082
,-1,4,5,9,B,12416.488,0.903,6257.07,0.1,9.013329649,0.000000969
,-3,3,6,9,C,28910.972,2.137,4337.423,0.237,9.031037207,0.000002293
0,6,8,2,10,He,49197.143,92.848,2995.134,9.285,10.05281531,0.000099676
,4,7,3,10,Li,33052.624,12.721,4531.351,1.272,10.03548345,0.000013656
,2,6,4,10,Be,12607.488,0.081,6497.63,0.008,10.0135347,0.000000086
,0,5,5,10,B,12050.609,0.015,6475.083,0.002,10.01293686,0.000000016
,-2,4,6,10,C,15698.672,0.07,6032.042,0.007,10.01685322,0.000000075
,-4,3,7,10,N,38800.026,400,3643.672,40,10.04165354,0.000429417
0,5,8,3,11,Li,40728.254,0.615,4155.381,0.056,11.04372358,0.00000066
,3,7,4,11,Be,20177.167,0.238,5952.54,0.022,11.02166108,0.000000255
,1,6,5,11,B,8667.707,0.012,6927.732,0.001,11.00930517,0.000000013
,-1,5,6,11,C,10649.396,0.06,6676.456,0.005,11.0114326,0.000000064
,-3,4,7,11,N,24303.559,46.154,5364.046,4.196,11.02609095,0.000049548
0,6,9,3,12,Li,49009.571,30.006,3791.6,2.501,12.05261394,0.000032213
,4,8,4,12,Be,25077.76,1.909,5720.722,0.159,12.02692208,0.000002048
,2,7,5,12,B,13369.397,1.321,6631.223,0.11,12.01435264,0.000001418
,0,6,6,12,C,0,0,7680.144,0,12,0
,-2,5,7,12,N,17338.068,1,6170.109,0.083,12.01861318,0.000001073
,-4,4,8,12,O,31914.613,24,4890.202,2,12.03426175,0.000025765
0,7,10,3,13,Li,56980.888,70.003,3507.63,5.385,13.0611715,0.00007515
,5,9,4,13,Be,33659.077,10.18,5241.435,0.783,13.03613451,0.000010929
,3,8,5,13,B,16561.947,1,6496.419,0.077,13.01777998,0.000001073
,1,7,6,13,C,3125.00888,0.00021,7469.849,0,13.00335484,2.30E-10
,-1,6,7,13,N,5345.481,0.27,7238.863,0.021,13.00573861,0.000000289
,-3,5,8,13,O,23115.432,9.526,5811.763,0.733,13.02481544,0.000010226
0,6,10,4,14,Be,39954.498,132.245,4993.897,9.446,14.04289292,0.00014197
,4,9,5,14,B,23663.685,21.213,6101.644,1.515,14.02540401,0.000022773
,2,8,6,14,C,3019.89278,0.00376,7520.319,0,14.00324199,4.03E-09
,0,7,7,14,N,2863.41672,0.00019,7475.614,0,14.003074,2.10E-10
,-2,6,8,14,O,8007.781,0.025,7052.278,0.002,14.00859671,0.000000027
,-4,5,9,14,F,31964.402,41.119,5285.208,2.937,14.0343152,0.000044142
0,7,11,4,15,Be,49825.815,165.797,4540.97,11.053,15.05349022,0.00017799
,5,10,5,15,B,28958.242,21.032,5879.985,1.402,15.03108795,0.000022578
,3,9,6,15,C,9873.144,0.8,7100.169,0.053,15.01059926,0.000000858
,1,8,7,15,N,101.43871,0.0006,7699.46,0,15.0001089,6.50E-10
,-1,7,8,15,O,2855.605,0.491,7463.692,0.033,15.00306562,0.000000526
,-3,6,9,15,F,16566.751,14,6497.459,0.933,15.01778514,0.000015029
,-5,5,10,15,Ne,40215.373,66.684,4868.728,4.446,15.04317298,0.000071588
0,8,12,4,16,Be,57447.132,165.797,4285.285,10.362,16.06167204,0.00017799
,6,11,5,16,B,37112.51,24.569,5507.302,1.536,16.03984192,0.000026375
,4,10,6,16,C,13694.132,3.578,6922.054,0.224,16.01470126,0.00000384
,2,9,7,16,N,5683.907,2.301,7373.796,0.144,16.00610193,0.00000247
,0,8,8,16,O,-4737.00135,0.00016,7976.206,0,15.99491462,1.70E-10
,-2,7,9,16,F,10680.253,8.321,6963.731,0.52,16.01146572,0.000008932
,-4,6,10,16,Ne,23986.776,20.48,6083.177,1.28,16.02575086,0.000021986
0,7,12,5,17,B,43716.317,204.104,5269.667,12.006,17.0469314,0.000219114
,5,11,6,17,C,21031.898,17.365,6558.024,1.021,17.02257867,0.000018641
,3,10,7,17,N,7870.079,15,7286.229,0.882,17.00844888,0.000016103
,1,9,8,17,O,-808.76348,0.00066,7750.728,0,16.99913176,7.00E-10
,-1,8,9,17,F,1951.702,0.248,7542.328,0.015,17.00209524,0.000000266
,-3,7,10,17,Ne,16500.447,0.354,6640.499,0.021,17.01771396,0.00000038
,-5,6,11,17,Na,35173.214,1001.356,5496.08,58.903,17.03776,0.001075
0,8,13,5,18,B,51792.634,204.165,4976.63,11.342,18.05560168,0.00021918
,6,12,6,18,C,24919.264,30,6426.131,1.667,18.02675193,0.000032206
,4,11,7,18,N,13113.168,18.57,7038.562,1.032,18.01407757,0.000019935
,2,10,8,18,O,-782.8156,0.00071,7767.097,0,17.99915961,7.60E-10
,0,9,9,18,F,873.113,0.463,7631.638,0.026,18.00093733,0.000000497
,-2,8,10,18,Ne,5317.614,0.363,7341.257,0.02,18.00570869,0.00000039
,-4,7,11,18,Na,25037.988,93.881,6202.217,5.216,18.02687939,0.000100785
0,9,14,5,19,B,59770.244,525.363,4719.634,27.651,19.064166,0.000564
,7,13,6,19,C,32413.752,98.389,6118.273,5.178,19.0347976,0.000105625
,5,12,7,19,N,15856.282,16.404,6948.543,0.863,19.01702242,0.00001761
,3,11,8,19,O,3332.858,2.637,7566.495,0.139,19.00357797,0.00000283
,1,10,9,19,F,-1487.4442,0.00086,7779.018,0,18.99840316,9.30E-10
,-1,9,10,19,Ne,1752.05,0.16,7567.343,0.008,19.0018809,0.000000171
,-3,8,11,19,Na,12929.39,10.535,6937.885,0.554,19.01388027,0.000011309
,-5,7,12,19,Mg,31828.389,50.001,5902.025,2.632,19.03416918,0.000053678
0,10,15,5,20,B,68450#,800#,4453#,40#,#VALUE!,#VALUE!
,8,14,6,20,C,37503.563,230.625,5961.435,11.531,20.04026173,0.000247585
,6,13,7,20,N,21766.496,78.894,6709.171,3.945,20.0233673,0.000084696
,4,12,8,20,O,3796.172,0.885,7568.57,0.044,20.00407536,0.00000095
,2,11,9,20,F,-17.463,0.03,7720.134,0.002,19.99998125,0.000000031
,0,10,10,20,Ne,-7041.93055,0.00157,8032.24,0,19.99244018,1.68E-09
,-2,9,11,20,Na,6850.604,1.114,7298.496,0.056,20.00735443,0.000001195
,-4,8,12,20,Mg,17477.692,1.863,6728.025,0.093,20.01876308,0.000002
0,11,16,5,21,B,77330#,900#,4203#,43#,#VALUE!,#VALUE!
,9,15,6,21,C,45643#,596#,5674#,28#,#VALUE!,#VALUE!
,7,14,7,21,N,25231.913,134.048,6609.015,6.383,21.02708757,0.000143906
,5,13,8,21,O,8062.035,12,7389.374,0.571,21.00865495,0.000012882
,3,12,9,21,F,-47.605,1.8,7738.293,0.086,20.99994889,0.000001932
,1,11,10,21,Ne,-5731.776,0.038,7971.713,0.002,20.99384669,0.000000041
,-1,10,11,21,Na,-2184.631,0.098,7765.547,0.005,20.9976547,0.000000105
,-3,9,12,21,Mg,10903.85,0.755,7105.031,0.036,21.01170576,0.00000081
,-5,8,13,21,Al,26990#,596#,6302#,28#,#VALUE!,#VALUE!
0,10,16,6,22,C,53611.197,231.49,5421.077,10.522,22.05755399,0.000248515
,8,15,7,22,N,31764.801,207.779,6378.534,9.445,22.03410092,0.00022306
,6,14,8,22,O,9283.033,56.921,7364.871,2.587,22.00996575,0.000061107
,4,13,9,22,F,2793.373,12.399,7624.295,0.564,22.00299881,0.00001331
,2,12,10,22,Ne,-8024.719,0.018,8080.465,0.001,21.99138511,0.000000018
,0,11,11,22,Na,-5181.511,0.171,7915.667,0.008,21.99443742,0.000000183
,-2,10,12,22,Mg,-399.933,0.313,7662.761,0.014,21.99957065,0.000000335
,-4,9,13,22,Al,18201#,401#,6782#,18#,#VALUE!,#VALUE!
,-6,8,14,22,Si,33338#,503#,6058#,23#,#VALUE!,#VALUE!
0,11,17,6,23,C,64171#,997#,5077#,43#,#VALUE!,#VALUE!
,9,16,7,23,N,36720.425,420.57,6236.671,18.286,23.039421,0.0004515
,7,15,8,23,O,14621.369,121.712,7163.485,5.292,23.01569669,0.000130663
,5,14,9,23,F,3285.263,33.32,7622.344,1.449,23.00352687,0.00003577
,3,13,10,23,Ne,-5154.049,0.104,7955.256,0.005,22.9944669,0.000000112
,1,12,11,23,Na,-9529.85248,0.00181,8111.493,0,22.98976928,1.94E-09
,-1,11,12,23,Mg,-5473.513,0.158,7901.115,0.007,22.99412394,0.00000017
,-3,10,13,23,Al,6748.07,0.345,7335.727,0.015,23.00724435,0.00000037
,-5,9,14,23,Si,23697#,503#,6565#,22#,#VALUE!,#VALUE!
0,10,17,7,24,N,46938#,401#,5887#,17#,#VALUE!,#VALUE!
,8,16,8,24,O,18500.402,164.874,7039.685,6.87,24.019861,0.000177
,6,15,9,24,F,7544.515,97.67,7463.582,4.07,24.00809937,0.000104853
,4,14,10,24,Ne,-5951.646,0.513,7993.325,0.021,23.99361065,0.00000055
,2,13,11,24,Na,-8417.901,0.017,8063.488,0.001,23.99096301,0.000000017
,0,12,12,24,Mg,-13933.569,0.013,8260.709,0.001,23.9850417,0.000000014
,-2,11,13,24,Al,-48.865,0.233,7649.582,0.01,23.99994754,0.00000025
,-4,10,14,24,Si,10745.195,19.472,7167.232,0.811,24.01153544,0.000020904
,-6,9,15,24,P,33320#,503#,6194#,21#,#VALUE!,#VALUE!
0,11,18,7,25,N,55983#,503#,5613#,20#,#VALUE!,#VALUE!
,9,17,8,25,O,27329.027,165.084,6727.805,6.603,25.02933892,0.000177225
,7,16,9,25,F,11334.166,96.442,7336.306,3.858,25.01216773,0.000103535
,5,15,10,25,Ne,-2035.502,29.045,7839.799,1.162,24.9978148,0.000031181
,3,14,11,25,Na,-9357.813,1.2,8101.397,0.048,24.98995397,0.000001288
,1,13,12,25,Mg,-13192.783,0.047,8223.502,0.002,24.98583696,0.00000005
,-1,12,13,25,Al,-8915.975,0.065,8021.136,0.003,24.99042831,0.000000069
,-3,11,14,25,Si,3827.324,10,7480.11,0.4,25.0041088,0.000010735
,-5,10,15,25,P,19738#,401#,6812#,16#,#VALUE!,#VALUE!
0,10,18,8,26,O,34661.037,164.95,6497.478,6.344,26.03721016,0.000177081
,8,17,9,26,F,18648.875,111.199,7083.24,4.277,26.02002039,0.000119377
,6,16,10,26,Ne,481.114,18.429,7751.91,0.709,26.0005165,0.000019784
,4,15,11,26,Na,-6860.78,3.502,8004.201,0.135,25.99263465,0.000003759
,2,14,12,26,Mg,-16214.542,0.03,8333.87,0.001,25.98259297,0.000000032
,0,13,13,26,Al,-12210.151,0.067,8149.765,0.003,25.98689186,0.000000071
,-2,12,14,26,Si,-7141.015,0.108,7924.708,0.004,25.9923338,0.000000115
,-4,11,15,26,P,10973#,196#,7198#,8#,#VALUE!,#VALUE!
,-6,10,16,26,S,27079#,596#,6548#,23#,#VALUE!,#VALUE!
0,11,19,8,27,O,44670#,500#,6185#,19#,#VALUE!,#VALUE!
,9,18,9,27,F,25450.279,389.83,6867.932,14.438,27.027322,0.0004185
,7,17,10,27,Ne,7050.909,90.77,7520.414,3.362,27.00756946,0.000097445
,5,16,11,27,Na,-5517.79,3.726,7956.946,0.138,26.99407641,0.000004
,3,15,12,27,Mg,-14586.611,0.05,8263.852,0.002,26.98434063,0.000000053
,1,14,13,27,Al,-17196.861,0.047,8331.553,0.002,26.98153841,0.00000005
,-1,13,14,27,Si,-12384.503,0.107,8124.341,0.004,26.98670469,0.000000115
,-3,12,15,27,P,-722.458,26.34,7663.438,0.976,26.99922441,0.000028277
,-5,11,16,27,S,17028#,401#,6977#,15#,#VALUE!,#VALUE!
0,12,20,8,28,O,52080#,699#,5988#,25#,#VALUE!,#VALUE!
,10,19,9,28,F,33741.596,393.024,6614.792,14.037,28.0362231,0.000421928
,8,18,10,28,Ne,11299.737,126.068,7388.346,4.502,28.01213077,0.000135339
,6,17,11,28,Na,-988.315,10.246,7799.264,0.366,27.998939,0.000011
,4,16,12,28,Mg,-15018.845,2.001,8272.413,0.071,27.98387661,0.000002148
,2,15,13,28,Al,-16850.645,0.077,8309.894,0.003,27.98191009,0.000000083
,0,14,14,28,Si,-21492.7943,0.00049,8447.744,0,27.97692654,5.20E-10
,-2,13,15,28,P,-7147.74,1.152,7907.479,0.041,27.99232659,0.000001236
,-4,12,16,28,S,4073.206,160,7478.79,5.714,28.00437277,0.000171767
,-6,11,17,28,Cl,27516#,596#,6614#,21#,#VALUE!,#VALUE!
0,11,20,9,29,F,40150.186,525.363,6444.031,18.116,29.043103,0.000564
,9,19,10,29,Ne,18399.801,149.505,7167.067,5.155,29.019753,0.0001605
,7,18,11,29,Na,2679.994,7.337,7682.151,0.253,29.00287709,0.000007876
,5,17,12,29,Mg,-10602.829,11.4,8113.202,0.393,28.98861739,0.000012238
,3,16,13,29,Al,-18207.76,0.345,8348.464,0.012,28.98045316,0.00000037
,1,15,14,29,Si,-21895.07838,0.00056,8448.635,0,28.97649467,6.00E-10
,-1,14,15,29,P,-16952.848,0.359,8251.236,0.012,28.98180037,0.000000385
,-3,13,16,29,S,-3156.416,50,7748.52,1.724,28.99661145,0.000053677
,-5,12,17,29,Cl,13162.176,188.68,7158.832,6.506,29.01413018,0.000202555
0,12,21,9,30,F,48112#,596#,6233#,20#,#VALUE!,#VALUE!
,10,20,10,30,Ne,23280.117,253.25,7034.531,8.442,30.02499224,0.000271875
,8,19,11,30,Na,8474.67,4.727,7501.968,0.158,30.00909793,0.000005074
,6,18,12,30,Mg,-8883.82,3.447,8054.506,0.115,29.99046283,0.0000037
,4,17,13,30,Al,-15864.844,2.888,8261.128,0.096,29.98296839,0.0000031
,2,16,14,30,Si,-24432.96,0.022,8520.654,0.001,29.97377014,0.000000023
,0,15,15,30,P,-20200.854,0.065,8353.506,0.002,29.97831349,0.000000069
,-2,14,16,30,S,-14059.253,0.206,8122.707,0.007,29.98490677,0.000000221
,-4,13,17,30,Cl,4443#,196#,7480#,7#,#VALUE!,#VALUE!
,-6,12,18,30,Ar,20931.147,206.155,6904.204,6.872,30.02247051,0.000221316
0,13,22,9,31,F,56143#,546#,6033#,18#,#VALUE!,#VALUE!
,11,21,10,31,Ne,31181.591,266.195,6813.09,8.587,31.03347482,0.000285772
,9,20,11,31,Na,12246.031,13.972,7398.677,0.451,31.01314666,0.000015
,7,19,12,31,Mg,-3122.151,3.074,7869.188,0.099,30.99664823,0.0000033
,5,18,13,31,Al,-14950.706,2.236,8225.517,0.072,30.98394976,0.0000024
,3,17,14,31,Si,-22949.036,0.043,8458.291,0.001,30.97536319,0.000000046
,1,16,15,31,P,-24440.54095,0.00067,8481.167,0,30.973762,7.20E-10
,-1,15,16,31,S,-19042.525,0.229,8281.8,0.007,30.97955701,0.000000246
,-3,14,17,31,Cl,-7034.551,3.447,7869.209,0.111,30.9924481,0.0000037
,-5,13,18,31,Ar,11325#,200#,7252#,6#,#VALUE!,#VALUE!
0,12,22,10,32,Ne,36999#,503#,6671#,16#,#VALUE!,#VALUE!
,10,21,11,32,Na,18640.151,37.26,7219.881,1.164,32.02001103,0.00004
,8,20,12,32,Mg,-828.9,3.26,7803.84,0.102,31.99911014,0.0000035
,6,19,13,32,Al,-11099.367,7.173,8100.344,0.224,31.98808434,0.0000077
,4,18,14,32,Si,-24077.686,0.298,8481.468,0.009,31.97415154,0.00000032
,2,17,15,32,P,-24304.874,0.04,8464.12,0.001,31.97390764,0.000000042
,0,16,16,32,S,-26015.53355,0.00132,8493.129,0,31.97207117,1.41E-09
,-2,15,17,32,Cl,-13334.674,0.562,8072.404,0.018,31.98568464,0.000000603
,-4,14,18,32,Ar,-2200.351,1.77,7700.008,0.055,31.99763783,0.0000019
,-6,13,19,32,K,21098#,401#,6947#,13#,#VALUE!,#VALUE!
0,13,23,10,33,Ne,45997#,596#,6440#,18#,#VALUE!,#VALUE!
,11,22,11,33,Na,23780.11,449.912,7089.926,13.634,33.025529,0.000483
,9,21,12,33,Mg,4962.297,2.888,7636.455,0.088,33.00532725,0.0000031
,7,20,13,33,Al,-8497.38,6.986,8020.616,0.212,32.99087769,0.0000075
,5,19,14,33,Si,-20514.325,0.699,8361.059,0.021,32.97797696,0.00000075
,3,18,15,33,P,-26337.346,1.09,8513.806,0.033,32.97172569,0.00000117
,1,17,16,33,S,-26585.85434,0.00135,8497.63,0,32.97145891,1.45E-09
,-1,16,17,33,Cl,-21003.337,0.391,8304.755,0.012,32.97745199,0.000000419
,-3,15,18,33,Ar,-9384.292,0.401,7928.955,0.012,32.98992555,0.00000043
,-5,14,19,33,K,7042#,196#,7407#,6#,#VALUE!,#VALUE!
0,14,24,10,34,Ne,52842#,513#,6287#,15#,#VALUE!,#VALUE!
,12,23,11,34,Na,31680.111,599.416,6886.437,17.63,34.03401,0.0006435
,10,22,12,34,Mg,8323.348,28.876,7550.39,0.849,34.00893548,0.000031
,8,21,13,34,Al,-3000.289,3.074,7860.428,0.09,33.99677906,0.0000033
,6,20,14,34,Si,-19956.852,14.118,8336.141,0.415,33.97857544,0.000015155
,4,19,15,34,P,-24548.698,0.81,8448.185,0.024,33.97364589,0.00000087
,2,18,16,34,S,-29931.685,0.045,8583.498,0.001,33.96786701,0.000000047
,0,17,17,34,Cl,-24440.082,0.049,8398.97,0.001,33.97376249,0.000000052
,-2,16,18,34,Ar,-18378.29,0.078,8197.672,0.002,33.98027009,0.000000083
,-4,15,19,34,K,-1220#,196#,7670#,6#,#VALUE!,#VALUE!
,-6,14,20,34,Ca,13851#,298#,7204#,9#,#VALUE!,#VALUE!
0,13,24,11,35,Na,38231#,670#,6733#,19#,#VALUE!,#VALUE!
,11,23,12,35,Mg,15639.784,269.668,7356.233,7.705,35.01679,0.0002895
,9,22,13,35,Al,-223.728,7.359,7787.124,0.21,34.99975982,0.0000079
,7,21,14,35,Si,-14391.457,35.857,8169.563,1.024,34.98455013,0.000038494
,5,20,15,35,P,-24857.799,1.866,8446.249,0.053,34.97331405,0.000002003
,3,19,16,35,S,-28846.206,0.04,8537.85,0.001,34.96903232,0.000000043
,1,18,17,35,Cl,-29013.528,0.035,8520.278,0.001,34.96885269,0.000000038
,-1,17,18,35,Ar,-23047.284,0.68,8327.461,0.019,34.97525772,0.00000073
,-3,16,19,35,K,-11172.891,0.512,7965.84,0.015,34.98800541,0.00000055
,-5,15,20,35,Ca,4788#,196#,7487#,6#,#VALUE!,#VALUE!
0,14,25,11,36,Na,46303#,678#,6546#,19#,#VALUE!,#VALUE!
,12,24,12,36,Mg,20380.157,690.237,7244.419,19.173,36.021879,0.000741
,10,23,13,36,Al,5950.384,149.505,7623.515,4.153,36.006388,0.0001605
,8,22,14,36,Si,-12436.124,71.797,8112.519,1.994,35.98664927,0.000077077
,6,21,15,36,P,-20251.034,13.114,8307.868,0.364,35.97825962,0.000014078
,4,20,16,36,S,-30664.131,0.188,8575.389,0.005,35.9670807,0.000000201
,2,19,17,36,Cl,-29522.005,0.036,8521.931,0.001,35.96830682,0.000000038
,0,18,18,36,Ar,-30231.54,0.027,8519.909,0.001,35.96754511,0.000000028
,-2,17,19,36,K,-17417.065,0.341,8142.219,0.009,35.98130201,0.000000366
,-4,16,20,36,Ca,-6451.149,40,7815.879,1.111,35.99307441,0.000042941
,-6,15,21,36,Sc,15351#,298#,7189#,8#,#VALUE!,#VALUE!
0,15,26,11,37,Na,53534#,687#,6392#,19#,#VALUE!,#VALUE!
,13,25,12,37,Mg,28211.474,698.947,7055.111,18.89,37.03028627,0.00075035
,11,24,13,37,Al,9809.563,180.244,7531.315,4.871,37.010531,0.0001935
,9,23,14,37,Si,-6571.511,113.809,7952.903,3.076,36.99294519,0.000122179
,7,22,15,37,P,-18995.998,37.948,8267.555,1.026,36.97960696,0.000040738
,5,21,16,37,S,-26896.417,0.198,8459.935,0.005,36.97112551,0.000000212
,3,20,17,37,Cl,-31761.538,0.052,8570.281,0.001,36.96590258,0.000000055
,1,19,18,37,Ar,-30947.664,0.207,8527.139,0.006,36.96677631,0.000000221
,-1,18,19,37,K,-24800.199,0.094,8339.847,0.003,36.97337589,0.0000001
,-3,17,20,37,Ca,-13136.066,0.634,8003.456,0.017,36.98589785,0.00000068
,-5,16,21,37,Sc,3520#,300#,7532#,8#,#VALUE!,#VALUE!
0,14,26,12,38,Mg,34074#,503#,6928#,13#,#VALUE!,#VALUE!
,12,25,13,38,Al,16209.859,374.461,7377.097,9.854,38.017402,0.000402
,10,24,14,38,Si,-4170.299,104.793,7892.829,2.758,37.995523,0.0001125
,8,23,15,38,P,-14621.563,72.581,8147.274,1.91,37.98430311,0.000077918
,6,22,16,38,S,-26861.203,7.172,8448.782,0.189,37.97116331,0.000007699
,4,21,17,38,Cl,-29798.103,0.098,8505.481,0.003,37.96801042,0.000000105
,2,20,18,38,Ar,-34714.821,0.195,8614.28,0.005,37.9627321,0.000000209
,0,19,19,38,K,-28800.755,0.195,8438.058,0.005,37.96908112,0.000000209
,-2,18,20,38,Ca,-22058.499,0.194,8240.043,0.005,37.97631923,0.000000208
,-4,17,21,38,Sc,-4249#,200#,7751#,5#,#VALUE!,#VALUE!
,-6,16,22,38,Ti,10870#,300#,7332#,8#,#VALUE!,#VALUE!
0,15,27,12,39,Mg,42275#,513#,6747#,13#,#VALUE!,#VALUE!
,13,26,13,39,Al,20650#,400#,7281#,10#,#VALUE!,#VALUE!
,11,25,14,39,Si,2320.352,135.532,7730.979,3.475,39.002491,0.0001455
,9,24,15,39,P,-12774.634,112.645,8097.969,2.888,38.98628587,0.000120929
,7,23,16,39,S,-23162.667,50,8344.269,1.282,38.97513385,0.000053677
,5,22,17,39,Cl,-29800.205,1.732,8494.402,0.044,38.96800816,0.000001859
,3,21,18,39,Ar,-33242.19,5,8562.598,0.128,38.96431304,0.000005367
,1,20,19,39,K,-33807.1901,0.00458,8557.025,0,38.96370649,4.92E-09
,-1,19,20,39,Ca,-27282.702,0.596,8369.67,0.015,38.97071081,0.00000064
,-3,18,21,39,Sc,-14172.709,24,8013.456,0.615,38.98478497,0.000025765
,-5,17,22,39,Ti,2200#,200#,7574#,5#,#VALUE!,#VALUE!
0,16,28,12,40,Mg,48350#,500#,6628#,13#,#VALUE!,#VALUE!
,14,27,13,40,Al,27590#,400#,7127#,10#,#VALUE!,#VALUE!
,12,26,14,40,Si,5429.679,345.119,7661.754,8.628,40.005829,0.0003705
,10,25,15,40,P,-8114.37,153.582,7980.796,3.84,39.99128887,0.000164876
,8,24,16,40,S,-22837.846,3.982,8329.325,0.1,39.97548256,0.000004274
,6,23,17,40,Cl,-27557.813,32.066,8427.765,0.802,39.97041547,0.000034423
,4,22,18,40,Ar,-35039.89464,0.00224,8595.259,0,39.96238312,2.40E-09
,2,21,19,40,K,-33535.492,0.056,8538.09,0.001,39.96399817,0.00000006
,0,20,20,40,Ca,-34846.384,0.021,8551.303,0.001,39.96259087,0.000000022
,-2,19,21,40,Sc,-20523.335,2.828,8173.669,0.071,39.97796729,0.000003036
,-4,18,22,40,Ti,-8850.384,160,7862.286,4,39.99049872,0.000171767
,-6,17,23,40,V,12170#,300#,7317#,7#,#VALUE!,#VALUE!
0,15,28,13,41,Al,33420#,500#,7008#,12#,#VALUE!,#VALUE!
,13,27,14,41,Si,12119.668,554.705,7508.573,13.529,41.013011,0.0005955
