r,r*,T
0.00,6371.00,5301.00
200.00,6171.00,5269.00
400.00,5971.00,5237.00
600.00,5771.00,5214.00
800.00,5571.00,5191.00
1000.00,5371.00,5153.00
1200.00,5171.00,5115.00
1221.50,5149.50,5111.00
1400.00,4971.00,5057.00
1600.00,4771.00,4996.00
1800.00,4571.00,4919.00
2000.00,4371.00,4843.00
2200.00,4171.00,4747.00
2400.00,3971.00,4651.00
2600.00,3771.00,4533.00
2800.00,3571.00,4415.00
3000.00,3371.00,4273.00
3200.00,3171.00,4131.00
3400.00,2971.00,3966.00
3430.00,2941.00,3900.00
3450.00,2921.00,3836.27
3675.00,2696.00,3213.63
3800.00,2571.00,3018.00
4000.00,2371.00,2865.00
4200.00,2171.00,2712.00
4400.00,1971.00,2610.00
4600.00,1771.00,2509.00
4800.00,1571.00,2411.00
5000.00,1371.00,2313.00
5200.00,1171.00,2211.00
5400.00,971.00,2109.00
5600.00,771.00,2003.00
5701.00,670.00,1950.00
5771.00,600.00,1906.00
5871.00,500.00,1842.00
5971.00,400.00,1779.00
6016.00,355.00,1750.00
6061.00,310.00,1714.00
6151.00,220.00,1622.00
6221.00,150.00,1550.00
6291.00,80.00,1155.00
6331.00,40.00,930.00
6346.60,24.40,743.00
6356.00,15.00,630.00
6368.00,3.00,366.00
6371.00,0.00,300.00
