planet,moon,mass,diameter,density,gravity,escape_velocity,rotation_period,length_day,avg_dist,perihelion,aphelion,T,v,i,e,o,Temp,P,num_moons,rings,mag_field
Mercury,n,0.33,4879,5427,3.7,4.3,1407.6,4222.6,57.9,46,69.8,88,47.4,7,0.205,0.034,167,0,0,n,y
Venus,n,4.87,12104,5243,8.9,10.4,-5832.5,2802,108.2,107.5,108.9,224.7,35,3.4,0.007,177.4,464,92,0,n,n
Earth,n,5.97,12756,5514,9.8,11.2,23.9,24,149.6,147.1,152.1,365.2,29.8,0,0.017,23.4,15,1,1,n,y
Moon,y,0.073,3475,3340,1.6,2.4,655.7,708.7,0.384,0.363,0.406,27.3,1,5.1,0.055,6.7,-20,0,0,n,n
Mars,n,0.642,6792,3933,3.7,5,24.6,24.7,227.9,206.6,249.2,687,24.1,1.9,0.094,25.2,-65,0.001,2,n,n
Jupiter,n,1898,142984,1326,23.1,59.5,9.9,9.9,778.6,740.5,816.6,4331,13.1,1.3,0.049,3.1,-110,,79,y,y
Saturn,n,568,120536,687,9,35.5,10.7,10.7,1433.5,1352.6,1514.5,10747,9.7,2.5,0.057,26.7,-140,,82,y,y
Uranus,n,86.8,51118,1271,8.7,21.3,-17.2,17.2,2872.5,2741.3,3003.6,30589,6.8,0.8,0.046,97.8,-195,,27,y,y
Neptune,n,102,49528,1638,11,23.5,16.1,16.1,4495.1,4444.5,4545.7,59800,5.4,1.8,0.011,28.3,-200,,14,y,y
Pluto,n,0.0146,2370,2095,0.7,1.3,-153.3,153.3,5906.4,4436.8,7375.9,90560,4.7,17.2,0.244,122.5,-225,0.00001,5,n,
Io,y,0.08933,3642.6,3530,,,,,0.4216,,,1.77,,,,,,,,,
Europa,y,0.04797,3130,2990,,,,,0.6709,,,3.55,,,,,,,,,
Ganymede,y,0.1482,5268,1940,,,,,1.07,,,7.15,,,,,,,,,
Callisto,y,0.1076,4806,1851,,,,,1.883,,,16.69,,,,,,,,,
Charon,y,0.0017,1172,1800,,,,,0.0194,,,6.39,,,,,,,,,
